Name,Lyrics,Lyricist ,Singer,Genre,Music Composer,Metaphor,Interpretation
Ashawe Ashawe – ආශාවේ ආශාවේ,"ආශාවේ ආශාවේ පායා රෑ සිහින මායාවේ සේයා
දෑසේ සිනා හද සීතල මේ සිත 
මී පැණි දේ මට තව ළං වෙලා
මේ යාමේ...හෝ හෝ හෝ  
හෝ හෝ හෝ හෝ හෝ හෝ...
ආශාවේ ආශාවේ පායා පා වේවී පා වේවී සේයා
ප්‍රේමේ අමා රස වෑහෙන මීවිත 
මා දෙතොලේ ඇත මට ළං වෙලා
මේ යාමේ...හෝ හෝ හෝ  
හෝ හෝ හෝ හෝ හෝ හෝ...
මා ඔබ හා අද යාළු වෙලා ඒ සතුටේ සිත මෝදු වෙලා
මා සනසාලා මා සතපාලා වෑහීලා හද ආරාධනා...
සීගිරියේ බිතු රූ විලසේ මා මිතුරේ අපි යාළු වෙලා
ජීවිතයේදී මේ භවයේදී පෑහීලා අපි ප්‍රේමේ රසේ...
සඳ පාන ලෙසට මේ හිරු තාප මිහි තලේ
ඇති දාට හිතට ආදර සරණා   හෝ
හෝ හෝ හෝ  හෝ හෝ හෝ...  හෝ හෝ හෝ...
ජීවිතයේ රස හා බැඳුණේ ආදරයේ මුව ගෑ කොතැනේ
සාගරයේදී යා වෙමු පෑහී  ආසාවේ අපි ආදරයේ
ලෝකය මේ සැදුණේ තැනුනේ ප්‍රේම දයා සෙනෙහේ මතිනේ
යාළුවනේ මේ මා හද යා වූ ආසාවේ මන ආදරයේ
බැඳි දාට පෙම් ලොවේ කුළ බේද ලෝකයේ
සිදු වූවෙ කොහෙද නෑ කිසි සරණා     හෝ
හෝ හෝ හෝ  හෝ හෝ හෝ...  හෝ හෝ හෝ...
",Hemasiri Halpita,"Greshan Ananda,H.R.Jothipala","Duets,Movie Songs,Old Pops",Sarath De Alwis,metaphor,interpretation
Api Denna Pokunai – අපි දෙන්නා පොකුණයි,"අපි දෙන්නා පොකුණයි පියුමයි විලසින් උන්නේ..
ඔබ පමණයි අප උන් සුවතැන් රසතැන් දන්නේ..
ඔබගේ සිත මා නැත හඳුනන්නේ 
වරදක් නැතුවයි පිටුපා යන්නේ..
තේරෙයි තේරෙයි තේරෙයි තේරෙයි තේරෙයි...
සුභ සැන්දෑවක් වේවා 
වැලි අහුර කන්දක් කියාලා 
දිය බඳුන ඟඟකැයි සිතාලා
මල් අත්තෙ කටුවක් සොයාලා 
ලත වෙන්න සිදුවෙයි කිපීලා 
සඳ මඬල සා ලපය ඇතිදෝ 
මද දිගට සම සමව ඇතිදෝ
මෙය ඔබට තෝරන්න බැරිදෝ  
අප දෙන්න මැද ඉන්නෙ කවුදෝ
",Unknown,H.R.Jothipala,Old Pops,M.K.Roksami,metaphor,interpretation
Amara Pem Lathawe – අමර පෙම් ලතාවේ,"     …….…..……  
අමර පෙම් ලතාවේ රන් මලක් උදාවේ..
අඳුන් සඳුන් සුව මැවේ මනෝ මන්දිරේ..
ඉසුරුමුනි කතාවේ යුවළ දැන් සිනාවේ..
කසුන් සඳක් ජනිත වේ ජී….වන අඹරේ
ඔබෙ දෙපා ළඟ මගේ තුරුණු හද පිදේ
හිමවතේ සිසිල දී ගිමන සංසිදේ
හා හ හ හා.. හ   හා   ම් ම් ම් ම්… ම් ම්  
ආදරේ ආදරේ මී බඳුන් පිරේ 
පිපෙන මල් විල් තලේ දියට බර නැතේ
දෝත දී පිළිගමී ඔබගෙ ජීවිතේ
හා හ හ හා.. හ   හා   ම් ම් ම් ම්… ම් ම්  
ආදරේ ආදරේ මී බඳුන් පිරේ 
",Karunarathna Abeysekara,"Angelin Gunathilaka,H.R.Jothipala","Duets,Movie Songs",Sarath Dasanayaka,metaphor,interpretation
Adanne Ai – අඬන්නෙ ඇයි,"අඬන්නෙ ඇයි සුදු මැණිකේ කියන්න පණ මාගේ
හෙළන්නෙ ඇයි කඳුළැලි ආදර නිල්මිණි දෑසේ
අඬන්නෙ ඇයි සුදු මැණිකේ කියන්න පණ මාගේ
ඔයාව ජීවිතයේ මට හමුවුණු මුල් දවසේ
සිනාවේ දෑසේ අහිංසක ආදරයයි තිබුණේ
කියාපු මිහිරි කතා තවමත් ඇහෙනවා වාගේ
ප්‍රියාවි රැකගන්නම් හද බලකොටුවෙහි මාගේ
පරාද වෙන්න ඉඩක් නෑ අපි දෙන්නගේ ප්‍රේමේ
දිනන්නේ යන යන තැන ඔබ හින්දයි මා ලෝකේ
අඬන්නෙ ඇයි සුදු මැණිකේ කියන්න පණ මාගේ 
මැණිකේ සුවඳ මලයි පිපි බාධක කටු අකුලේ
සිටින්න දෝතින් ඒ මල නෙලනා තුරු මැණිකේ
දිලෙන්නේ එක තරුවයි සඳ වටකර පෙම් ලෝකේ
සඳ මැණිකෙයි මම තරුවයි පායන නිල් අහසේ
",Dharmasiri Gamage,H.R.Jothipala,"Classics,Golden Pop",M.K.Roksami,metaphor,interpretation
Adara Mal Pawane – ආදර මල් පවනේ,"ආදර මල් පවනේ ඈ යන මේ ගමනේ 
කොහෙදෝ යන්නේ කව්දෝ දන්නේ 
දුලීකා…… දුලීකා  
වේදනා කන්දේ ඉඳලා   ආදරේ දැක අත වනලා 
සුළඟේ පාවී සුසුම් හෙළා වී 
දුලීකා….. දුලීකා… 
චංචල සිතුවිල්ලේ මංගල ඕවිල්ලේ 
නැළ වී යන්නේ ඈ මෙසේ 
පෙම් මල් උයනට දෝ   කඳුලැලි මුහුදට දෝ
",Dharmasiri Gamage,H.R.Jothipala,"Movie Songs,Old Pops",Premasiri Khemadasa,metaphor,interpretation
Adare Hithenawa – ආදරේ හිතෙනවා,"ආදරේ හිතෙනවා දැක්කම දෙවඟන වාගේ ලස්සනයි
පොඩ්ඩක් ඉන්න සුදෝ මං එනවා ළඟටම දැන් හොඳයි
ඔබ සොයා ඉගිළ එයි මා හදේ භෘංගයා 
හැංඟුවේ ඇයි ප්‍රියේ මල් විලේ හංසයා
හැංඟුවේ ඇයි ප්‍රියේ මල් විලේ හංසයා 
හැංඟුවේ නෑ කිසිත් ඇත්තමයි මා ඔබේ 
මා සෙවූ මා පැතූ ආදරේ දැන් ලැබේ
මා සෙවූ මා පැතූ ආදරේ දැන් ලැබේ
",Nihal Jayasingha,"Angelin Gunathilaka,H.R.Jothipala","Duets,Movie Songs",P.L.A.Somapala,metaphor,interpretation
Ada Amuthuma Reyaki – අද අමුතුම රැයකි,"අද අමුතුම රැයකි හොඳ සීතල පැයකි
අඳුරු වළා වැලපී මගෙ හිත සතුට දකී.. 
ඝන නිල් වරලින්නේ මල් සුවදකි එන්නේ
හද විනිවිද යන්නේ නෙත් සිත පිබිදෙන්නේ
නිලිපුල් වැනි දෑසේ සැතපී ඇති රහසේ
තේරුම තොරාලා දෙනු මැන හිනහීලා
සුරලිත මුතු වරලේ අඩවන් සඳ බැබලේ
නා දළු බදු දෙතොලේ බිහිවෙයි මදු කොතොලේ
",Karunarathna Abeysekara,H.R.Jothipala,New Pop,Sarath Dasanayaka,metaphor,interpretation
Ma Prarthana – මා ප්‍රාර්ථනා,"මා ප්‍රාර්ථනා ආශාවෝ ආරාධනා ඇසුණා දෝ
පෙර ආත්මයේ පැතුවා දෝ මේ ආත්මයේ හමුවී දෝ 
දිලි දිලි දිලි දෙනෙතේ නුරාකැන් දිලේ
සැලි සැලි සැලි දෙතොලේ සිනාකැන් සැලේ 
රැඳි රැඳි රැඳි තුරුලේ වෙලී පෙම් බඳේ
බැඳි බැඳි බැඳි වෙසෙමී සදාකල් ප්‍රියේ 
මනහාරී වනරේඛා යායේ පාවේ  
මධු ලෝලී බිඟු දෑලේ පෙම් ගී රාවේ 
පෙණ රැළි රැළි විහිදී පැතුම් සාගරේ 
දිය සුළි සුළි කැරකී හැඟුම් යා කෙරේ
රස සිතුවිලි අතරේ සුපෙම් මාවතේ 
ඔබ අතගෙන ගෙවමී යොවුන් ජීවිතේ
රසකාමී අනුරාගී වූ පෙම් ලෝකේ  
මධුරාවී ඔබ මාගේ මේ සංසාරේ
",Dharmasiri Gamage,"Angelin Gunathilaka,H.R.Jothipala","Duets,Movie Songs",Premasiri Khemadasa,metaphor,interpretation
Lassanai Balanna – ලස්සනයි බලන්න,"ලස්සනයි බලන්න ඔයාගේ මල් හිනා
පුන්සඳක් නැගෙන් එපා කැළුම් පෙරා
ඕ රංගනි  මා නිසාද ඔය නටන්නේ
ලස්සනයි බලන්න…. 
වෙලළේ රළ පෙරලේ ගංගාවෙ රැලි වගේ 
කැළුම් දේ බැලුම් දේ සුනීල ඇස් දෙකේ 
රතු උලාලා දෙතොල් පාලා හසරැලී නගාවී
දැත දීල හැරිල බලල රතැගිළි නටාවී
ඇයි බොරුවේ මම දනිමී ඔයාගෙ සිතිවිලි
නලලේ රන් තිලකේ දිලිසේවි සිත වගේ 
කැළුම් දේ හැගුම් දේ ඇගේ නෙතින් දිලේ 
හැඩ බලාල දෝත දීල මා දිහා බලාලා
මලේ සුවද දන්නෙ හමන සුළඟ යැයි කියාවී
ඇයි බොරුවේ මම දනිමී ඔයාගෙ සිතිවිලි
",Cyril A Seelawimala,H.R.Jothipala,Movie Songs,M.K.Roksami,metaphor,interpretation
Lokaye Wenas Une – ලෝකයේ වෙනස් උනේ,"ලෝකයේ වෙනස් උනේ මිනිහදෝ දෙවියාදෝ 
ආදරේ නමින් මා තැවේ තැවේ
ලෝකයේ වෙනස් උනේ මිනිහදෝ දෙවියාදෝ  
මෙවන් මහා පොලෝ තලේ
මටත් හිමි යමක් ඇතේ
ඒ වෙනුවෙන් මා ජී..වත් වන්නේ
බිඳීමකින් අතේ පයේ 
මගේ පැතුම් බිඳී නොයේ
සිත සිර කරලා තැබුමට නොහැකේ
සිතක් ගොසින් සිතක් වෙලයි
යමෙක් කිපි අකුල් හෙලයි
ආදර ගඟ නැ  ඉන් නැවතෙන්නේ
",Karunarathna Abeysekara,H.R.Jothipala,Movie Songs,Sarath Dasanayaka,metaphor,interpretation
Lande Lande Lande – ලඳේ ලඳේ ලඳේ,"ලඳේ ලඳේ ලඳේ වන බඹරු නොදුටු මලේ
මා ඔබට පිදුව හදේ මුළු ලොවම රැදී සැලේ
ලඳේ ලඳේ ලඳේ
මගෙ අඳුරු ලොවේ ඔබෙ නෙතින් එළිය වැටෙනවා
හා හා  හා හා……. හෝ හෝ හෝ හෝ…..
මගෙ අඳුරු ලොවේ ඔබෙ නෙතින් එළිය වැටෙනවා
ඔබෙ සුවඳ මගේ මැදුර පුරා සුවඳ කරනවා
ඔබ වෙසෙන පැලෙන් නව ලොවකට ගෙන එමි කැන්දා    
හා හා හා හා……. හෝ හෝ හෝ හෝ…..
ඔබ වෙසෙන පැලෙන් නව ලොවකට ගෙන එමි කැන්දා
ඔය සොඳුරු පැතුම් මුල සිට මගෙ හදවත බැන්දා
",Unknown,"Angelin Gunathilaka,H.R.Jothipala","Duets,Golden Pop",Unknown,metaphor,interpretation
Koyi Yanne – කොයි යන්නේ,"කොයි යන්නේ බඳ ළෙලවාලා 
ලැසි ගමනේ ඉඟ සොලවාලා
පාවෙන සුළඟේ වද මල වාගේ
වද මල වාගේ වද මල වාගේ ... 
කොකාගේ පාට අප දන්නේ 
පියාඹන දාට වැටහෙන්නේ
බලාගන්නයි දෙනෙත් ඇත්තේ 
හිතාගන්නයි හිතක් ඇත්තේ
බලාගන්නයි දෙනෙත් ඇත්තේ 
හිතාගන්නයි හිතක් ඇත්තේ
ඉතින්වත් යන් පියා සළලා 
ඉගිල්ලී එන්නකෝ හැරිලා ..
ඔබේ වෙස් දැන් වෙනස් කරලා 
හිනාවීයන් ටිකක් බලලා ..
ඔබේ වෙස් දැන් වෙනස් කරලා 
හිනාවීයන් ටිකක් බලලා
",Karunarathna Abeysekara,H.R.Jothipala,Movie Songs,M.K.Roksami,metaphor,interpretation
Kokilaya Keviliya Ha – කෝකිලයා කෙවිලිය හා,"කෝකිලයා කෙවිලිය හා  
නැළවෙන ප්‍රේම වසන්තය මේ 
ඕ... රනමොණරා රන්මොණරිය හා  
සැනසෙන ප්‍රේම වසන්තය මේ
ජීවන උයනේ සීතල සෙවනේ 
රම්‍ය දර්ශනේ රම්‍ය දර්ශනේ 
ආදර ගඟුලේ සෝබන ඉවුරේ 
ගීත කූජනේ ගීත කූජනේ
පරමාදරේ පරමාදරේ අමා උල්පත ඇරුණා
රන් කුසලානෙක  පෙම්මදිරා ඉතිරී යනවා
රොන් පිරි කුසුමක්  භෘංග නදින් පිබිදී එනවා
පරමාදරේ පරමාදරේ අමා උල්පත ඇරුණා
",Karunarathna Abeysekara,"H.R.Jothipala,Rukmani Devi",,Milroy Dharmarathna,metaphor,interpretation
Kothanaka Sitiyath – කොතැනක සිටියත්,"කොතැනක සිටියත් ඔබ මෙලොවේ  
දිගුකල් ජීවත් වෙන්නකෝ 
ඔබේ සිතට සැනසුම ගෙන දී  
දිගුකල් ජීවත් වෙන්නකෝ 
රැකගෙන මංගල මුදුව අතේ  
දිගුකල් ජීවත් වෙන්නකෝ 
හිටියත් කිසිවෙකු මෙහි ඔබ පතලා
දුටුවත් ඔහු ඔබේ ලස්සන මැවිලා
සිහිකෙරුවත් පසු ගියදේ හිතලා
සිරිකත මෙන් ඔබ දිගුකල් ජීවත් වෙන්නකෝ
ඔබ එනතුරු මම තනියෙන් සිටියා    
ඔබ වෙන කිසිවෙකු සමගින් ආවා
ඔහු දිවි රැකුමට මට වර ලැබුණා
පිරිසිඳු ලිය ඔබ දිගු කල් ජීවත් වෙන්නකෝ
",Chithrananda Abeysekara,H.R.Jothipala,"Classics,Golden Pop",Mohommad Sali,metaphor,interpretation
Kodi Gaha Yata – කොඩි ගහ යට,"කොඩි ගහ යට මම උපන්නේ  
නම ගිය තෑනකි රටේ
කොළඹ ය කියලයි කියන්නේ  
මුලු ලොකය හතරවටේ
හැඩට වැඩට හරි සූරයෝ   
අපිත් කොළඹ කොල්ලෝ
නිතරම හිත ගත යොදන්නේ රස තැන් සොයන්නටයි
කෙනෙකුට කරදර නොදෙන්නේ අපි අන්තිම අහිංසකයි 
හැඩට වැඩට හරි සූරයෝ අපිත් කොළඹ කොල්ලෝ
මෙහෙදී මුලදිම දකින්නේ හොඳ හොඳ විලිසිතා
තරුණියො නිතරම සිටින්නේ අපි පිළිබඳ සිතා සිතා
හැඩට වැඩට හරි සූරයෝ අපිත් කොළඹ කොල්ලෝ
කෑවට බීවට විනෝදෙන් සතුටින් නටා හැපී
අප සැම ඔබ සැම වගෙයිනේ කොයි කවුරුත් එකයි අපි
හැඩට වැඩට හරි සූරයෝ අපිත් කොළඹ කොල්ලෝ
",Karunarathna Abeysekara,"H.R.Jothipala,M.S.Fernando","Group Songs,Movie Songs",P.L.A.Somapala,metaphor,interpretation
Kiri Ithirewa – කිරි ඉතිරේවා,"කිරි ඉතිරේවා නව වසරේ 
සාමයේ ගීතයේ රැව් නැගී දස අතේ 
කිරි ඉතිරේවා නව වසරේ
දුක් දොම්නස නැති වුණා නව වසරක් එළඹුණා
අවුරුදු දා ප්‍රීති වන්න මතුකරමින් මල්හිනා
සාමයේ ගීතයේ රැව් නැගී දස අතේ
බත බුලතින් අඩුනොවී සුරසැප මිහිපිට මැවී
උපන් බිමේ කිරි ඉතිරී ගොඩ මඩ සරු සාර වී
සාමයේ ගීතයේ රැව් නැගී දස අතේ
",,H.R.Jothipala,,,metaphor,interpretation
Keewemi Obahata – කීවෙමි ඔබහට,"කීවෙමි ඔබහට සියදහස්වර
ඔබ නැ මාහට කන් දුන්නේ
වෙනතක බලලා වෙන අත් පතලා
ඔබ අද අසරණ වී ඉන්නේ...
සිතවෙන අතකට වරදක බැදුනම
පෙමිබරයා නැත හදුනන්නේ
හදකට දුකදී ඒහද තනිකොට 
කුමටද දුක් දි ලතවෙන්නේ
මීණීමුතු අභරණ පටපිළි වස්තුව
කොතරමි තිබුනත් කුමට ප්‍රියේ
පිවිතුරැ ආදර ගුණදමි සුරකින 
 පෙමිබරයා දෙවි කෙනෙකි ලොවේ
",Chithrananda Abeysekara,H.R.Jothipala,"Golden Pop,Old Pops",Sarath Dasanayaka,metaphor,interpretation
Kawda Oba Kawrundo – කවුද ඔබ කවුරුන්දෝ,"කවුද ඔබ කවුරුන් දෝ මලක පිනි බිඳුවක් දෝ
නිහඬ වීලා මන් දෝ පවසන්නෙ මොනවා දෝ
සිතුවාට නැත සිතෙන්නේ
කවුද ඔබ කවුරුන් දෝ මලක පිනි බිඳුවක් දෝ
මදහාස බැල්මෙන් තී මා මත් කරන්නේ
ඇයි කල්පනාවෙන් මෙන් නැද්ද නෙත් සළන්නේ 
සඳපායලා ආ ඒ ඔබ දෝ වසන්තේ
සැළලිහිණි ගී පිළිරැව් හඬ දෝ දසන්තේ
එදා සීගිරීයෙහී ඇඳුණු රුවක් දෝ
රුවක් දෝ...රුවක් දෝ..
වළාකුල වගේ පීරූ හිස පිරිමදින්නම්
නෙළා ඕළු මානෙල් මල් ගෙල පළඳවන්නම්
මගේ ආදරේ සතුටින් පිළිගන්නවා නම්
උදේ මෙන් දිවා රෑ මම් පණ සේ රකින්නම්
හිතා ගන්න බෑ තාමත් ඔබ කාගෙ කවු දෝ
කවු දෝ...කවු දෝ......
",Premakeerthi De Alwis,H.R.Jothipala,"Golden Pop,Movie Songs",P.L.A.Somapala,metaphor,interpretation
Kalak Thisse – කලක් තිස්සේ,"කලක් තිස්සේ හිතක් පත්ලේ  මලක් පිපීලා ගිලිහී වැටුනේ
තුෂාරා පත් වලින් වියැකී කියා පෑවේ වියෝගයකී
නෙතින් නෙත මේ ගැටී ගොළු වේ
පැතුම් සංවේගයෙන් මුසුවේ
දිවා රැය මේ ගෙවී යන්නේ
නිදා නොනිදා පහන් වෙන්නේ
ලොවේ ඉපදී මෙසේ තනි වී 
දුකින් බර වී පරාජිත වී
හිතේ සංකා නිවා මාගේ 
ප්‍රියා මොකදෝ තවත් නාවේ
කොහේදෝ යම් දිනක දෙන්නා
එකට එක් වී මෙසේ උන්නා
එදා හඳ පායලා අහසේ
අපට කිව්වා යමක් රහසේ
",Siri Nihal Jayasingha,"Angelin Gunathilaka,H.R.Jothipala","Duets,Movie Songs",P.L.A.Somapala,metaphor,interpretation
Jeevithe Tharuna Kale – ජීවිතේ තරුණ කාලේ,"ජීවිතේ තරුණ කාලේ එක සේ නොරැ‍‍ෙඳ්
සොයමී… සෑම වේලේ සිතුදේ පැතුදේ
ආදර රසේ සිතුසේ ලබන සේ
බඹරා බමන සේ යම් මම් නිදහසේ
සතුටයි දුකයි එක සේ දැනේ
අනන්ත සුන්දර දිවි මල් උයනේ
රෑ ගණඳුරේ දිලෙනා පහන සේ
බාදා මැද මෙසේ බලමී ලොව රසේ
අහසයි බිමයි නිවසයි මගේ
හෙටක් කෙරේ නැහැ විශ්වාසේ
",Karunarathna Abeysekara,H.R.Jothipala,Golden Pop,R.Muththusami,metaphor,interpretation
Ira Sanda Wendala – ඉර සඳ වැඳලා,"ආදරේ……… ආදරේ……… ආදරේ………
ඉර සඳ වැඳලා නෙත් දෙක ඇරලා 
අත ඔබේ නළලේ තියා 
හදවත සපුරා පවසමි ඉඳුරා 
මම ආදරෙයි කියා 
මගෙ සිත සැනසී සැක බිය වැනසී 
ගණඳුර පහව ගියා 
මම ඔබ අඳුනා පිළිගමි ඉඳුරා 
මම ආදරෙයි කියා
සතර දිගන්තේ සොඳුරු වසන්තේ 
ඔය මුහුණෙහි දකිමී 
ඇස පිය නොහැරා දෙනෙතෙහි සතපා 
ඔබෙ රුව මම රකිමි
මුළු ලොව මත්තේ මගෙ යැයි කිව හැකි 
ඔබ පමණයි ඇත්තේ
 හෝ... ඔබ මා ළඟනම් ජීවිතයට වෙන 
කිසිවක්‌ හිඟ නැත්තේ
",Karunarathna Abeysekara,"Angelin Gunathilaka,H.R.Jothipala","Duets,Movie Songs",Sarath Dasanayaka,metaphor,interpretation
Ipadee Lowe – ඉපදී ලොවේ,"ඉපදී ලොවේ නවාතැන් පළේ 
           \
මිනිසා රඟයි රංගනේ
භවයෙන් භවේ විරාමේ අපේ 
කාලේ ටිකයි ජීවිතේ
         \
සිනහා කඳුළූ එනවා යනවා
\   \
මේ සිහින ගමනේ නැවතී ඉන්නා 
අම්බලමයි මාවතේ
මේ පාළු කතරේ ඔබ මා හමුවී 
යායුතු මග මේ වේ
අහගන්න මිතුරේ ලෝකය කරළිය වෙනවා
         \
මායාවේ නළුවෝ අපී
නොනිමන්න මිතුරේ පහනේ චායා 
කිසිදා මේ අත්භවේ
සුදිලේවි හැමදා නාමේ ඔබගේ 
හිරු සේ ආකාසයේ
ජය ගන්න මතු දා පැරදුම පැරදිය යුතුවේ
            \
මේ ලෝක රඟ මණ්ඩලේ
",Hemasiri Halpita,"Greshan Ananda,H.R.Jothipala","Group Songs,Movie Songs",Sarath De Alwis,metaphor,interpretation
Honda Siriyawai – හොඳ සිරියාවයි,"හොඳ සිරියාවයි ආකාසේ
වාසනාවට ආදරේ 
අපෙ ආදරේ.. ආදරේ.. අපෙ ආදරේ...
පෙම් සුව විඳිනු වගේ ප්‍රීතියක් ඇත්තෙ නෑ
මගෙ හද පෙම් රස උතුරන්  
මෝරලා එයි සෙනේ
රැල්ලයි වෙරලයි වාගෙනේ
ඈත්ව යන්නේ නෑ සෙනේ
අපෙ ආදරේ.. ආදරේ.. අපෙ ආදරේ.. 
පෙම් සුව විඳිනු වගේ ප්‍රීතියක් ඇත්තෙ නෑ
මගෙ හද පෙම් රස උතුරන්  
මෝරලා එයි සෙනේ
",Cyril A Seelawimala,"Angelin Gunathilaka,H.R.Jothipala","Duets,Movie Songs",P.L.A.Somapala,metaphor,interpretation
Hitinna Poddak – හිටින්න පොඩ්ඩක්,"හිටින්න පොඩ්ඩක් හිටින්න දුවන්නෙ ඇයි ඔයා
පනින්න ඉස්සර බලන්න පනින්නෙ කොහේ කියා
ඔච්චර කේන්ති ගියෝතින් වයසට යයි ඔයා
ලස්සන හාමිනෙ පොඩිත්ත නාකිවෙයි ඔයා
ලස්සන හාමිනෙ පොඩිත්ත නාකිවෙයි ඔයා
ශාන්ත දාන්ත වුණාම මාළඟ ජෝඩු වී
නෝනට කේන්ති ගියාම මට හරි පාඩුවේ
නෝනට කේන්ති ගියාම මට හරි පාඩුවේ
",Dharmasiri Gamage,H.R.Jothipala,Golden Pop,Galagedara M.M.A.Huk,metaphor,interpretation
Hada Viman Dorin – හද විමන් දොරින්,"හද විමන් දොරින් එන පැතුම් පවන් විහිද යයි හමා
පියඹනා කල්පනා රසේ දේයි අමා
මල් උයන් තුලින් විල් ගඟුල් මැදින් සුගන්දය ගලා
එකතු වී කිති කැවී රැඳී එක්වෙලා
සාගරයේ සිසිල් රැල් නැගි නැගී බිඳේ
ආදරයේ සුපෙම් කැන් දිලි දිලී සැලේ
ආකාසේ සඳේ ලප නැත මැකී ගියේ
ආදරයේ පුරාණේ හිත ඇදී ගියේ
උදා වූ වසන්තේ සදාකල් රැඳේවා 
මී වදයේ ගුම් නදින් මත් වෙලා ඉමී
ගී තනුවේ වදන් වැල් ලෙස ඇදී එමී
ලෝ තලයේ අලුත් පෙම් කතාවක් ලියා
පා කරමූ සුනිල්වන් වලාවක් සොයා
උදා වූ වසන්තේ සදාකල් රැඳේවා
",Karunarathna Abeysekara,"Angelin Gunathilaka,H.R.Jothipala","Duets,Movie Songs",Sarath Dasanayaka,metaphor,interpretation
His Tin Ekak – හිස් ටින් එකක්,"හිස් ටින් එකක් වාගෙයි අපේ මේ ජීවිතේ මල්ලි
කිසි වාසියක් නෑ හාමතෙයි නැත්තම් අතේ සල්ලි 
කාටවත් බය නෑ අපි තිබුණත් නැතත් සල්ලි
ඕ... තිබුණත් නැතත් සල්ලි
අපි කයිවාරු නෑ මල්ලි ඒ වුණත්
හිස් ටින් එකක් වාගෙයි අපේ මේ ජීවිතේ මල්ලි
කිසි වාසියක් නෑ හාමතෙයි නැත්තම් අතේ සල්ලි
අපේ පාටිය පිරිමි පාටියයි
අපි ඡන්දෙ දෙන්නේ වාසියටයි
කොයි කාගෙ ආණ්ඩුවත් අපට එකයි
අප‍ට ඕනෑ ප්‍රජාතත්ත්‍රවාදයයි ඒ වුණත් 
නැති බැරි එකා තල්ලු වෙනවා
පුළුවන් මිනිහා හිනහා වෙනවා
වැටි වැටි වුණත් නැගිටිනවා
මගේ බලෙත් මං පෙන්නනවා
",,"H.R.Jothipala,Milton Perera,Mohideen Beg","Group Songs,Movie Songs",P.L.A.Somapala,metaphor,interpretation
Obe Sapa Mage Sathutayi – ඔ‍බෙ සැප මගෙ සතුටයි,"ඔ‍බෙ සැප මගෙ සතුටයි
මුතු බිහි කරලා අනුනට බෙදනා...
මුතු බෙල්ලෙකු මෙනි අද මා ඉන්නේ....
ඔබෙ සැප මගෙ සතුටයි…
කොහිද අප සෙවූ සුව සහනේ...
එළිය නිවුනි දැල්වුන පහනේ...
අදුරේ නැති වූ ඉදිකටුවක් සේ..
රිදී ඉරක් අද නැතිව ගියා...
සත්සර නිහඩය වීණාවේ...
තත්පෙළ ඉකිබිද තැවුනාවේ...
මා ගැයු ගීතේ අද මට නෑසේ...
ඔබේ කණට එය ඇසුනාවේ
",Karunarathna Abeysekara,H.R.Jothipala,Movie Songs,Sarath Dasanayaka,metaphor,interpretation
Seetha Mosam – සීත මෝසම් ගීත,"සීත මෝසම් ගීත නාදෙන් චංචලයි ලොව දැන්නම්
හඬ රුං රුං සිත සන්සුන් හෝ
නෑ මා හදේ සන්තාපේ දැන් ඉන්නෙ මා සන්තෝසේ
නෑ මා හදේ සන්තාපේ දැන් ඉන්නෙ මා සන්තෝසේ
මා දැන් සිටින්නෙ විනෝද තරංග මල් ලෝකේ
ගුම් ගුම් ගුම් ගුම් ගුම් නාදේ නින්නාද වේ ගී රාවේ
ගුම් ගුම් ගුම් ගුම් ගුම් නාදේ නින්නාද වේ ගී රාවේ
පියඹා සැනසුම සොයන්නෙ බමරෙකු විලසින් මා
දොයි දොයි දොයි ආරාරෝ සෙනෙහස නෑ මා වින්දේ
දොයි දොයි දොයි ආරාරෝ සෙනෙහස නෑ මා වින්දේ
කෝ දැන් සැනසුම් හැඟුමන් ගෙනදුන් ගී රාවේ
",Dharmasiri Gamage,H.R.Jothipala,Movie Songs,Premasiri Khemadasa,metaphor,interpretation
Sasare pipase – සසරේ පිපාසේ,"සසරේ පිපාසේ නිවා ගන්න ආවා
නවාතැන මෙලෝකේ අහෝ දුක නොවේවා
සසරේ පිපාසේ
උපන්නොත් මැරේමයි වලක්වන්න නම් බෑ
හෝ...හෝ...හෝ...
උපන්නොත් මැරේමයි වලක්වන්න නම් බෑ
තනියෙන් උපන්නේ තනියෙන් මැරෙන්නේ
හෙට හෝ අනිද්දා කියා කල් ගනූ බෑ
හෝ...හෝ...හෝ...
හෙට හෝ අනිද්දා කියා කල් ගනූ බෑ
මරැ මෙහි ආ දා නැත කිසි බාධා
",Gunarathna Abeysekara,H.R.Jothipala,"Buddhist songs,Classics,Inspirational",P.L.A.Somapala,metaphor,interpretation
Sara Sande Sina Sele – සරා සඳේ,"සරා සඳේ සිනා සේලේ  ගිලිහී වැටිලා
වලා තලේ ඔබේ දෑසේ  සිනහා මැවිලා
තනිවී අඳුරේ සුසුමේ වෙලිලා
වැතිරී සීත මීදුම් යායේ  හදේ වේදනා  
හඬා වැටේ එදා ඇසූ   ඔබේ ගීතිකා
සැඟවී ඈත මේ හිම යායේ   කොහේ පාවෙලා
මිලාන වී ගියාද ඒ    සිනා වාසනා
",Kularathna Ariyawansa,H.R.Jothipala,"Movie Songs,Old Pops",Sarath Dasanayaka,metaphor,interpretation
