Name,Lyrics,Lyricist ,Singer,Genre,Music Composer,Metaphor,Interpretation
Ra Weda Muraya – රෑ වැඩ මුරය,"රෑ වැඩ මුරය අවසන් වන කණිසමට
නුඹෙ මුව පෙනෙයි පරවුණු කුසුමක් ලෙසට
අරුණළු කැරලි වැටෙනා සඳ අළුයමට
නුඹේ ලොවට රෑ වෙයි පෙර කල පවට
තුන් තිස් පැයේ දෑඟිලි නිදි වරන්නේ
නිල් එළියටයි පෙති ගෝමර දැවෙන්නේ
මල් විය නොවෙද මේ දියකර හරින්නේ
මැසිමද හිතද මහ හයියෙන් හඬන්නේ
නුඹෙ කඳුලැලිද සයුරේ රළ නඟන්නේ
හද සුසුමන්ද පවනක් වී හමන්නේ
තනි නොතනියට හෙවනැල්ලද සිටින්නේ
ඇඳුමද නුඹේ ජීවිතයද මහන්නේ
",Bandula Nanayakkarawasam,Sunil Edirisinghe,Classics,Rohana Weerasingha,metaphor,interpretation
Nube Sithata – නුඹේ සිතට,"නුඹේ සිතට පුන්සඳ පායලා වගේ
සිනා කිකිණි මල් පිපුණා දෙතොල දිගේ
එදා නැගුණු ආදර කැක්කුමට මගේ
ජාති ජාති නුඹ මට වාසනා නඟේ
අරුංගලේ දිස්නය ඇස් දෙකට අගේ
මාල පොටේ මුතු අමුණා මුවග අගේ
දෙපෝ දාට අහසේ තරු රෑන වගේ
ආල සිතක් බැඳුණයි රන් රුවට නුඹේ
නළල් තලට මුතු තැලි පට කිමද දඟේ
අතැඟිල්ලට රන් මුදුවක් නොවෙද අගේ
ලැතැවිල්ලට මංගල පෝරුවක් කොහේ
සැනසිල්ලට දුරු රටකට යමුද නඟේ
",Sunil R Gamage,Sunil Edirisinghe,Old Pops,Rohana Weerasingha,metaphor,interpretation
Palanchiye Lee – පලංචියේ ලී ඉරුවේ," පලංචියේ ලී ඉරුවේ අපි එකට
 මල් පැන් පොදක් රහ බැලුවේ අපි එකට
 එක වාඩියේ කල් ඇරියත් හිත හොඳට
 ඇයි මස්සිනේ පෙම් කළෙ අපි එක මලට
විරසක වී රුපුන් ලෙස යුද වදින්නද
කුළුඳුල් පෙම මෙයයි ඉන් අත් මිදෙන්නද
පෙම්දම් නිසා මිතුදම් සිඳ දමන්නද
 හොඳ හිත නුඹෙ තරම් ලොවකින් ලබන්නද
දොඩමළු කතා නෑ අද වාඩිය හෙවණේ
නිදි නැති රැය පුරා නුඹෙ සුසුමයි ඇසුණේ
හොර රහසින්ම එක සුවඳක් පැතු පවිනේ
නුඹවත් නැතිවේද හෙට මට සකි සඳුනේ
",Wasantha Kumara Kobawaka,"Edward Jayakody,Sunil Edirisinghe",Duets,Rohana Weerasingha,metaphor,interpretation
Ahasa Polawa – අහස පොළව,"අහස පොළව වටපිටාව හරිම හිස්තැනක්
ගහක් කොළක් දියක් නොමැති කාන්තාරයක්
ඇදී එන්න ඒ මොහොතේ 
හඬාවැටෙන හද මඬලට
ඔබයි මමයි ඉන්නා තැන කොහිද තනිකමක්
නැහැනේ තනිකමක්
කනට මිණක තරුවක රුව
නොපෙනුනි ඔබ දකින තුරා
ලොවක සිරිය නොදුටිමි මා 
ඔබෙ සෙනෙහස ලබන තුරා
විලක දොලක සුව නොලදිමි
ඔබ මා හා රැඳෙන තුරා
මලෙක සුවඳ ඇත මසිතේ
ඔබ මා ළඟ සිටින තුරා
",Yamuna Malani Perera,Sunil Edirisinghe,Old Pops,Rohana Weerasingha,metaphor,interpretation
Ada Deegeka – අද දීගෙක,"අද දීගෙක ගිය නුඹ මට බුලත් අතක් දීලා
යන්න පිටත් වූ මොහොතේ මගේ දෙපා වැඳලා
එතෙක් සිනහවෙන් සිටි මා කොහෙදෝ තනි වීලා
නෙතේ කඳුළු සිරකර ගෙන සිටියෙමි ඉවසාලා
පුංචි නංගියේ මගේ පුංචි නංගියේ 
පුංචි නංගියේ මගේ පුංචි නංගියේ
මා සිටියත් ඉවසා ගෙන නෙතේ කඳුළු නොසලා
අප දෙන්නා දිහා බලා උන් අම්මා දැකලා
ඇගේ නෙතින් කඩා හැළුණු කඳුළු මතක් වීලා
කවුරුත් නැති තැනකට වී හැඬුවෙමි තනි වීලා
පුංචි නංගියේ මගේ පුංචි නංගියේ 
පුංචි නංගියේ මගේ පුංචි නංගියේ
",Dharmasiri Gamage,Sunil Edirisinghe,Old Pops,Rohana Weerasingha,metaphor,interpretation
Nim Therak – නිම් තෙරක්,"නිම් තෙරක් නොදුටු මේ ලෝකයේ
රුදු සපුන් නිබඳ සරනා බිමේ 
ඔබේ සිනා වත මගේ නවාතැන
අරුණු විහිදුවාවී ජීවිතයේ
රැල් නගා ගලන ගංගා දියේ
මං වසා දමනු හැකිදෝ කෙසේ 
සොයා සයුරු දිය හඹා ඇවිත් ගඟ
සදා සැඟව යාවී සාගරයේ
සිල් බිඳී මුවන් කැලඹූ වනේ
බිම නොලා නෙලූ ඵල මාවතේ 
සදා ඔබේ ගිම් බෙදාගනිම් මම්
තැවුල් සැඟව යාවී මාරුතයේ
",Bandula Nanayakkarawasam,Sunil Edirisinghe,Old Pops,Rohana Weerasingha,metaphor,interpretation
Nidukanane – නිදුකාණනේ,"නිදුකාණනේ… නිදුකාණනේ
යොමා බුදු නෙත කුළුණිනේ
වඩිනු මැන නිදුකාණනේ 
සිතෙන් සිතක රඳනා කෝප ගිනි
උනුන් දවාලන අයුරු දකින්නට
මුවින් මුවග ගලනා නාග විස
උනුන් නසාලන අසිරි බලන්නට
උනුන් නසාලන අසිරි බලන්නට
නෙතින් නෙතක ගැටෙනා රාග සිත
ලෙවන් නෙතින් පිසදා හරින්නට
බියෙන් සැකෙන් නැගෙනා තාප ගිනි
දයා දියෙන් සනහා නිවන්නට 
දයා දියෙන් සනහා නිවන්නට
කාලයයි නිදුකාණනේ දීපයයි නිදුකාණනේ
දේශයයි නිදුකාණනේ වඩිනු මැන නිදුකාණනේ
නිදුකාණනේ… නිදුකාණනේ
",Bandula Nanayakkarawasam,Sunil Edirisinghe,"Buddhist songs,Inspirational",Rohana Weerasingha,metaphor,interpretation
Malliye Naraka Mithuran – මල්ලියෙ නරක මිතුරන්,"මල්ලියෙ නරක මිතුරන් පිළිගන්ට එපා
නංගියෙ නොහොබිනාකම් හුරු වෙන්ට එපා
බෝගම්බර සිපිරි ගෙදරට එන්ට එපා
හතුරෙකුටවත් මට වන් දුක වෙන්ට එපා      
දළදා මැදුරෙ තේවා හඩ රැව් දෙනවා
කළ පව් මතක්‌ වී දෑසම තෙත් වෙනවා
සියක්‌ වාරයක්‌ මැරි මැරි උපදිනවා
තිබහට වතුර වෙනුවට කඳුලැලි බොනවා
ලැබුවේ අවවාද නොහොබින ආරකය
දුදනන් නිසා විය හෙනහුරු මාරකය
මං පෙර ගියේ වරදින් පිරි පාරකය
ඒ ගිය මගේ අවසානය පෝරකය
",Sunil Ariyarathna,Sunil Edirisinghe,"Classics,Request",Rohana Weerasingha,metaphor,interpretation
Mage Senehasa – මගේ සෙනෙහස,"මගේ සෙනෙහස මෙතෙක් වේ යැයි
මනින්නට ඔබ උගෙන නැත තව
මගේ අවසන් සුසුම පමණද
අවැසි ඔබ හට මා දකින්නට
මගේ සෙනෙහස මෙතෙක් වේ යැයි
මනින්නට ඔබ උගෙන නැත තව      
වසර ගණනක යොදුන් ගණනක
ගමන් මඟ අප ගෙවා ඇත්තෙමු
තරු වියන් යට කුසුම් පෙති මත
දෑත් පටලා ඇවිද ඇත්තෙමු
එහෙත් සුහදිනි
මගේ සෙනෙහස මෙතෙක් වේ යැයි
මනින්නට ඔබ උගෙන නැත තව
මිලින කුසුමෙක මිලින සිහිනෙක
මගේ සිහියද සැඟව ගත් කල
සිතනු මැන ඔබ ඔබට අවනත
හදක් මිහිමත මෙතෙක් රැඳි වග
එහෙත් සුහදිනි
මගේ සෙනෙහස මෙතෙක් වේ යැයි
මනින්නට ඔබ උගෙන නැත තව
",Bandara Wijethunga,Sunil Edirisinghe,Classics,Rohana Weerasingha,metaphor,interpretation
Miniseku Pita Nagi – මිනිසෙකු පිට නැගි,"මිනිසෙකු පිට නැගි අසරුවෙකි
ඒ බර ගෙයි වහලෙට බරකි
පාන්දරින් පැරදුණු ඒ මිනිහා
හැන්දෑවෙත් අසු පිටට නගී
හෙට මම ගෙදරට සුර සැප දෙනවා
අද රෑ ලුණු මිරිසෙන් ගත වෙනවා
කාසි මල්ල සතෙකුගෙ පිට යනවා
දූ දරුවන් පැදුරේ නිදියනවා
ඉරණම් විසඳුම සතෙකුට දෙනවා
තිරිසනෙකුට මිනිසෙකු පරදිනවා
දරුවන් බිරිඳත් ගිනි උහුලනවා
හීනෙන් නුඹ තව ගෙවල් හදනවා
",Premakeerthi De Alwis,Sunil Edirisinghe,Old Pops,H.M.Jayawardhana,metaphor,interpretation
Minisa Suwandayi – මිනිසා සුවඳයි,"මිනිසා සුවඳයි මල සේ නුවණින් එළියයි හිරු සේ
පරවී………   වැටිලා ඒ හිරු මල මේ දෙරණේ
පොළවේ උරුමේ කියමින් බිලිදී විහිඟුම් ගුණදම්
දහසින් මියෙනා සටනින් අඟලේ හිමිකම් සොයමින්
ලොව නහවා සෝ කඳුලින්
සැනහේ ජය පැන් පුරමින්
උණු ලේ විෂ වී සිරුරේ ඉසුරන් ගැටෙනා අතරේ
ගිනි මල් පිපිලා අහසේ ඇවිලේ ගිනි දැල් සයුරේ
සා පවසින් ඉකි බිඳිනා
සුසුමෙන් යදියන් හෙලනා 
",Kumaradasa Saputhanthri,Sunil Edirisinghe,Old Pops,Rohana Weerasingha,metaphor,interpretation
Me Tharam Siyumalida – මේ තරම් සියුමැලිද,"මේ තරම් සියුමැලිද කළු ගල් 
හිතන්නටවත් බැරි නිසා
මම ගියා අවුකන බුදුන්ටත්
දෑස් දුන් මිනිසා සොයා 
දෑස් දුන් මිනිසා සොයා
කලා වැව ලඟ ඉලුක් හෙවනක
මැටි පිලක පැදුරක් එලා
රිදුම් පිරිමදිමින් බලයි ඔහු
මැරෙන ඉපදෙන රළ දිහා
මැරෙන ඉපදෙන රළ දිහා
ඉසුරුමුණියේ නුඹ තැනූ
පෙම්බරිය කොතැනද කියා
මා ඇසූ විට හිනැහුණා ඔහු
තවම තනිකඩයැයි කියා
තවම තනිකඩයැයි කියා 
",Ravi Wasantha Welgama,Sunil Edirisinghe,New Pop,Dharshana Ruwan Dissanayake,metaphor,interpretation
Mage Amal Biso – මගෙ අමල් බිසෝ,"මගෙ අමල් බිසෝ දොර හරින්නෙපා
හොඳ පරිස්සමින් ඉඳපන්
මම දීපංකරේ ලතැවුලෙන් මෙසේ
නුඹ මූදුකරේ තනියෙන්
යස ඉසුරු අරන් සුදු මහත්වරුන්
ඒරොප්පෙ ඉඳන් ඇවිදින්
මුදු බැලුම් හෙලයි ලං වෙන්න බලයි
නුඹ නොදැක්ක සේ ඉඳපන්
ඇඳි නේක ඇඳුම් සුදු නෝනවරුන්
ගෙට එබී බලයි හොරැහින්
මගෙ පුංචි එවුන් ටික ලඟට කරන්
නුඹ හෝදිසියෙන් ඉඳපන්
",Bandara Ahaliyagoda,Sunil Edirisinghe,New Pop,Rohana Weerasingha,metaphor,interpretation
Ma Ithin Yanna – මා ඉතින් යන්න,"මා ඉතින් යන්න යනවා මට යන්න අවසරයි
මට අරන් යන්න ඇත්තේ ඒ මතකය විතරයි 
ඔබ සඳක් සේම පායා මට එලිය දුන් වගයි
ඔබ සඳක් සේම බැස යයි මට අයිති කළුවරයි
මට මතක එපමණයි
සඳ එලිය අයිති ලොවටයි සඳ අයිති අහසටයි
උණු කඳුළු බින්දු පමණක් මේ බිමට වැටෙනු ඇයි
මට උරුම එපමණයි
",Rathna Sri Wijesinge,Sunil Edirisinghe,New Pop,Rohana Weerasingha,metaphor,interpretation
Lenchina – ලෙන්චිනා,"ලෙන්චිනා මගෙ නංගියේ ඇයි
ගංතෙරට වී ගොම්මනේ
පෙත්තරේ ළඟ පැන් තොටේ
ගම්මානයේ පව් සෝදනා
රත්තරන් වී කළු වලාකුළු
චන්ද්‍රයා සේ පායලා
ලෙන්චිනා ඇති වැඩ කලා දැන්
ගෙදර යං කළුවර වුණා
පින්වතුන් කැල ඇන්ද සළුපිලි
සේදුවා නුඹ සේදුවා
තාම නෑ කිලිකුණු ගිහින් ඒ
කිම්ද නොදැනේ කාරණා
සේදිලා පරිශුද්ධ වීමෙන්
යුග දෑත් නුඹෙ බබලනා
",Rathna Sri Wijesinge,Sunil Edirisinghe,New Pop,Rohana Weerasingha,metaphor,interpretation
Kawurunda Oba Mage – කවුරුන්ද ඔබ මගේ,"කවුරුන්ද ඔබ මගේ කවුරුන්ද මා ඔබේ
කවුරුන්ද ඔබ මගේ කවුරුන්ද මා ඔබේ 
දෙතොල් සලා මුදු සිනහ නගන්නෙමු
දෙනෙත් පුරා පිරි කඳුළු සලන්නෙමු 
හදවත් ගැහෙනා රිද්මය අතරේ
සිතින් ගතින් එක්තැන් වී ඉන්නෙමු
ප්‍රේමය ගොළු වී හඬා වැටීලා
ඔබ හද මා හද රිදවන මොහොතේ 
ජීවිතයට හුරු පැරදුම හමුවේ
නොදොඩා ගොළුවී බලා සිටින්නෙමු
",Saman Athawudahetti,Sunil Edirisinghe,New Pop,Rohana Weerasingha,metaphor,interpretation
Kuda Game Maddahane – කුඩා ගමේ මද්දහනේ,"කුඩා ගමේ මද්දහනේ අව් රස්නේ මෙමා
හුරේ කඳු පෙතේ දඩ මං දිගේ ගියා මෙමා
එවන් ගමන් මා නම් ගියෙ සෙනෙහස ගැන සිතා
නුඹේ කරට රිදී පොටක් පළඳන්නයි සුබා
මගේ පැළට නුඹ කැන්දං පැමිණි දොහේ එදා
මල් ගෝමර පිපුණු ලමැද වසා ගනිං කියා
මගේ අතින් දුන් සළුවෙන් ලමැද වසා ගියා
රිදී පොටක් කර ලන්නට වරම් නැතුව ගියා
වරම් නැතුව ගියා
ආල වඩන අකුරු පහේ තේරවිල්ල සකී
රෑට නිදන තනි පැදුරේ නැති සිහිනෙකි සකී
ආලෙ බිඳුණු දා කුමකට කඳුළු හෙලනු සකී
ආල වඩන යන තේරුම බෝසත් කම සකී
",Dharmasiri Gamage,Sunil Edirisinghe,Movie Songs,Victor Rathnayaka,metaphor,interpretation
